OrderID,CustomerID,ProductID,Quantity,Price,OrderDate
1,1,1,1,50000.00,2025-06-01
2,2,2,2,60000.00,2025-06-05
3,3,3,3,6000.00,2025-06-10
4,4,1,1,50000.00,2025-06-15
5,5,2,1,30000.00,2025-06-20
6,6,3,2,4000.00,2025-06-22
7,7,1,1,50000.00,2025-07-01
8,8,2,1,30000.00,2025-07-03
9,9,3,4,8000.00,2025-07-07
10,10,1,1,50000.00,2025-07-12
11,11,2,1,30000.00,2025-07-20
12,12,3,3,6000.00,2025-07-25
13,13,1,1,50000.00,2025-08-02
14,14,2,2,60000.00,2025-08-05
15,15,3,5,10000.00,2025-08-10
16,16,1,1,50000.00,2025-08-15
17,17,2,1,30000.00,2025-08-18
18,18,3,2,4000.00,2025-08-22
19,19,1,1,50000.00,2025-09-01
20,20,2,1,30000.00,2025-09-05
21,1,3,3,6000.00,2025-09-07
22,2,1,1,50000.00,2025-09-10
23,3,2,1,30000.00,2025-09-12
24,4,3,2,4000.00,2025-09-15
25,5,1,1,50000.00,2025-09-18
26,6,2,2,60000.00,2025-09-20
27,7,3,4,8000.00,2025-09-22
28,8,1,1,50000.00,2025-09-24
29,9,2,1,30000.00,2025-09-26
30,10,3,2,4000.00,2025-09-28
31,11,1,1,50000.00,2025-09-29
32,12,2,2,60000.00,2025-09-30
33,13,3,1,2000.00,2025-10-01
34,14,1,1,50000.00,2025-10-02
35,15,2,1,30000.00,2025-10-03
36,16,3,2,4000.00,2025-10-04
37,17,1,1,50000.00,2025-10-05
38,18,2,1,30000.00,2025-10-06
39,19,3,2,4000.00,2025-10-07
40,20,1,1,50000.00,2025-10-08
